u_id,address,ptype,rent,deposit,bed,bath,sqfeet,yearbuilt,pet,ceilingFan,furnished,fireplace,cablePaid,securitySystem,laundry,washer,dryer,heatstyle,dishwasher,stove,garbage,refrigerator,microwave,swimming,parking,fence,porch,smoking
4890046,"11900 Hobby Horse Ct 1513Austin, Travis County  78758",Apt,"$1,200.00",$400.00,2,2,911,1996,Yes,No,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Patio,No
4887800,"121 Woodward St Austin, Travis County  78704",Apt,"$1,056.00",$200.00,1,1,400,1985,Yes,Yes,No,No,No,No,Yes,No,No,Central,No,Yes,Yes,Yes,No,No,Unassigned,No,Not Known,No
4637322,"5605 Springdale Rd Austin, Travis County  78723",Apt,$925.00,$150.00,1,1,680,2016,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,Yes
4788254,"5605 Springdale Rd Austin, Travis County  78723",Apt,"$1,030.00",$200.00,2,2,927,2016,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,Yes
4700460,"500 Grand Avenue Pkwy Pflugerville, Travis County  78660",Apt,"$1,063.00",$200.00,1,1,727,2008,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,None,No
4700454,"500 Grand Avenue Pkwy  Pflugerville, TRAVIS County  78660",Apt,"$1,276.00",$300.00,2,2,968,2008,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Patio,No
4700697,"500 Grand Avenue Pkwy Pflugerville, Travis County  78660",Apt,"$1,063.00",$200.00,1,1,727,2008,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,None,No
4872766,"7200 Duval St Austin, Travis County  78752",Apt,$820.00,$300.00,1,1,656,1969,Yes,Yes,No,No,No,No,Yes,No,No,Central,Yes,Yes,Yes,Yes,No,No,Open,No,Patio,No
4714511,"6725 Circle S Rd Austin, Travis County  78745",Apt,"$1,207.00",$200.00,2,2,N/A,2017,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unassigned,No,Balcony,No
4788309,"6725 Circle S Rd Austin, Travis County  78745",Apt,"$1,011.00",$150.00,1,1,N/A,2017,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Covered,No,Not Known,No
4867973,"701 Woodward St Austin, Travis County  78704",Apt,"$1,241.00",$300.00,3,2,1200,2002,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,2 - Carport,No,Balcony,No
4867947,"701 Woodward St Austin, Travis County  78704",Apt,"$1,076.00",$250.00,2,1,960,2002,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Balcony,No
4457015,"1001 Collinwood West Dr Austin, TRAVIS County  78753",Apt,"$1,050.00",$150.00,2,1,850,2001,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Unassigned,No,None,Yes
4863285,"5800 Techni Center Dr Austin, Travis County  78721",Apt,"$1,100.00",$200.00,2,2,875,2002,No,Yes,No,No,No,No,No,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Patio,No
4861429,"1638 East 2Nd Street Austin, TRAVIS County  78702",Apt,"$1,680.00",$350.00,4,2,1487,2019,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Assigned,No,Balcony,No
4861421,"1638 East 2Nd Street Austin, TRAVIS County  78702",Apt,"$1,502.00",$350.00,3,2,1259,2019,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Assigned,No,Balcony,No
4861418,"1638 East 2Nd Street Austin, TRAVIS County  78702",Apt,"$1,298.00",$250.00,2,1,913,2019,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Assigned,No,Balcony,No
4861412,"1638 East 2Nd Street Austin, TRAVIS County  78702",Apt,"$1,077.00",$150.00,1,1,646,2019,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Assigned,No,Balcony,No
4846555,"14011 FM 969 Austin, Travis County  78724",Apt,"$1,491.00",$400.00,4,2,1537,2019,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Balcony,Yes
4846549,"14011 FM 969 Austin, Travis County  78724",Apt,"$1,347.00",$300.00,3,2,1118,2019,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Patio,Yes
4846538,"14011 FM 969 Austin, Travis County  78724",Apt,"$1,173.00",$200.00,2,2,970,2019,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Balcony,Yes
4844207,"12433 Dessau Rd Austin, Travis County  78754",Apt,$959.00,$200.00,2,1,969,2017,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,1 - Car Garage,No,Not Known,No
4837899,"3400 Shoreline Dr Austin, Travis County  78728",Apt,"$1,005.00",$100.00,1,1,730,2001,Yes,Yes,No,Yes,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Patio,No
4837894,"3400 Shoreline Dr Austin, Travis County  78728",Apt,"$1,095.00",$100.00,1,1,800,2001,Yes,Yes,No,Yes,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Patio,No
4836054,"3400 Shoreline Dr Austin, Travis County  78728",Apt,$985.00,$100.00,1,1,647,2001,No,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Patio,No
4639107,"5800 Sweeney Cir Austin, Travis County  78723",Apt,$875.00,$875.00,2,1,744,1984,No,Yes,No,No,No,No,No,No,No,Central,No,Yes,Yes,Yes,No,No,Unassigned,No,Not Known,No
4811011,"12118 Walnut Park Xing Austin, Travis County  78753",Apt,"$1,300.00",$200.00,2,2,1116,2001,Yes,Yes,No,Yes,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Patio,Yes
4811007,"12118 Walnut Park Xing Austin, Travis County  78753",Apt,"$1,152.00",$200.00,2,1,908,2001,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Patio,Yes
4806098,"1143 Shady Ln StudioAustin, Travis County  78721",Apt,$981.00,$981.00,1,1,N/A,2018,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Balcony,No
4806075,"1143 Shady Ln 2BEDAustin, TRAVIS County  78721",Apt,"$1,174.00","$117,400.00",2,2,0,2018,Yes,Yes,No,No,No,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Balcony,No
4799985,"12118 Walnut Park Xing Austin, Travis County  78753",Apt,$993.00,$100.00,1,1,772,2001,Yes,Yes,No,Yes,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Open,No,Patio,Yes
